Name,Index,Level,Type,Max_Health,Attack,Defense,Speed,Moves,Evolved_Form,Evolution_Level,Evolution_Item,Abilities,Held_Item,Region,Sub_Region,Mana_Cost,Rarity,Price,Description,Class,Class_Type,Type2
Haunter,93,25,Ghost/Poison,45,50,45,95,Lick:1/Spite:1/Confuse Ray:1/Night Shade:1/Hypnosis:1/Dream Eater:1/Hypnosis:1/Psybeam:1/Shadow Ball:1/Dark Pulse:1,Gengar,None,Trade,Levitate,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Gengar,94,25,Ghost/Poison,60,65,60,110,Lick:1/Spite:1/Confuse Ray:1/Night Shade:1/Hypnosis:1/Dream Eater:33/Hypnosis:38/Psybeam:45/Shadow Ball:53/Dark Pulse:61,None,None,None,Levitate,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Onix,95,1,Rock/Ground,35,45,160,70,Tackle:1/Screech:1/Bind:15/Rock Throw:19/Harden:25/Rage:33/Slam:43,Steelix,None,Trade with Metal Coat,Rock Head,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Drowzee,96,1,Psychic,60,48,45,42,Pound:1/Hypnosis:1/Disable:1/Confusion:12/Headbutt:17/Poison Gas:24/Psychic:29/Meditate:37/Psychic:43,Hypno,26,None,Insomnia,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Hypno,97,26,Psychic,85,73,70,67,Pound:1/Hypnosis:1/Disable:1/Confusion:1/Headbutt:17/Poison Gas:27/Psychic:35/Meditate:47/Psychic:59/Psybeam:71,None,None,None,Insomnia,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Krabby,98,1,Water,30,105,90,50,Bubble:1/Leer:1/Vice Grip:20/Guillotine:25/Stomp:30/Crabhammer:35/Harden:40,Kingler,28,None,Hyper Cutter,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Kingler,99,28,Water,55,130,115,75,Bubble:1/Leer:1/Vice Grip:1/Guillotine:1/Stomp:1/Crabhammer:1/Harden:47/X-Scissor:59,None,None,None,Hyper Cutter,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Voltorb,100,1,Electric,40,30,50,100,Tackle:1/Sonic Boom:1/Spark:17/Screech:29/Light Screen:36/Swift:43/Explosion:50,Electrode,30,None,Static,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Electrode,101,30,Electric,60,50,70,150,Tackle:1/Sonic Boom:1/Spark:1/Screech:1/Light Screen:40/Swift:50/Explosion:60/Thunderbolt:70,None,None,None,Static,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Exeggcute,102,1,Grass/Psychic,60,40,80,40,Barrage:1/Uproar:1/Hypnosis:1/Reflect:23/Leech Seed:33/Stun Spore:43/Poison Powder:53/Sleep Powder:63/Solar Beam:73,Exeggutor,None,Leaf Stone,Chlorophyll,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Exeggutor,103,1,Grass/Psychic,95,95,85,55,Barrage:1/Uproar:1/Hypnosis:1/Reflect:1/Leech Seed:33/Stun Spore:39/Poison Powder:45/Sleep Powder:51/Solar Beam:59/Psyshock:65,None,None,None,Chlorophyll,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Cubone,104,1,Ground,50,50,95,35,Growl:1/Bone Club:1/Leer:10/Focus Energy:16/Thrash:25/Bonemerang:31/Rage:40/Earthquake:48,Marowak,28,None,Rock Head,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Marowak,105,28,Ground,60,80,110,45,Growl:1/Bone Club:1/Leer:1/Focus Energy:1/Thrash:1/Bonemerang:34/Rage:43/Earthquake:55/Bone Rush:65,None,None,None,Rock Head,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Hitmonlee,106,20,Fighting,50,120,53,87,Double Kick:1/Meditate:1/Rolling Kick:1/Jump Kick:1/Focus Energy:33/High Jump Kick:38/Meditate:43/Mega Kick:48,None,None,None,Limber,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Hitmonchan,107,20,Fighting,50,105,79,76,Comet Punch:1/Agility:1/Fire Punch:1/Ice Punch:1/ThunderPunch:33/Mega Punch:38/Counter:43/Agility:48/Sky Uppercut:53,None,None,None,Keen Eye,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Lickitung,108,1,Normal,90,55,75,30,Lick:1/Supersonic:1/Wrap:7/Stomp:15/Disable:23/Defense Curl:31/Screech:39/Slam:47,None,None,None,Own Tempo,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Koffing,109,1,Poison,40,65,95,35,Tackle:1/Smog:1/Sludge:32/SmokeScreen:39/Haze:49/Explosion:54/Sludge Bomb:61,Weezing,35,None,Levitate,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Weezing,110,35,Poison,65,90,120,60,Tackle:1/Smog:1/Sludge:1/SmokeScreen:42/Haze:53/Explosion:60/Sludge Bomb:65,None,None,None,Levitate,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Rhyhorn,111,1,Ground/Rock,80,85,95,25,Horn Attack:1/Tail Whip:1/Stomp:30/Fury Attack:35/Horn Drill:40/Leer:45/Take Down:50,Rhydon,42,None,Lightning Rod,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Rhydon,112,42,Ground/Rock,105,130,120,40,Horn Attack:1/Tail Whip:1/Stomp:1/Fury Attack:1/Horn Drill:1/Leer:55/Take Down:64/Earthquake:75/Rock Slide:85/Drill Run:95,None,None,None,Lightning Rod,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Chansey,113,1,Normal,250,5,5,50,Pound:1/Growl:1/Tail Whip:5/Soft-Boiled:12/Minimize:23/Sing:30/Defense Curl:36/Light Screen:43/Egg Bomb:49/Metronome:54/Double-Edge:65,Blissey,None,High Friendship,Natural Cure,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Tangela,114,1,Grass,65,55,115,60,Constrict:1/Bind:1/Absorb:29/Poison Powder:32/Stun Spore:36/Sleep Powder:39/Growth:45/Wrap:52/Slam:59,Tangrowth,None,Level up knowing Ancient Power,Chlorophyll,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Kangaskhan,115,1,Normal,105,95,80,90,Comet Punch:1/Leer:1/Bite:26/Growl:31/Mega Punch:36/Tail Whip:41/Dizzy Punch:46/Rage:51/Outrage:56/Double-Edge:61,None,None,None,Early Bird,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Horsea,116,1,Water,30,40,70,60,Bubble:1/SmokeScreen:1/Leer:19/Water Gun:24/Agility:30/Hydro Pump:41/Dragon Rage:52,Seadra,32,None,Swift Swim,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Seadra,117,32,Water,55,65,95,85,Smokescreen:1/Leer:1/Bubble:1/Water Gun:1/Agility:1/Hydro Pump:50/Dragon Rage:61/Twister:72,Kingdra,None,Trade with Dragon Scale,Sniper,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Goldeen,118,1,Water,45,67,60,63,Peck:1/Tail Whip:1/Water Sport:19/Supersonic:24/Horn Attack:30/Fury Attack:37/Waterfall:45/Horn Drill:54,Seaking,33,None,Swift Swim,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Seaking,119,33,Water,80,92,65,68,Peck:1/Tail Whip:1/Water Sport:1/Supersonic:1/Horn Attack:1/Fury Attack:42/Waterfall:50/Horn Drill:60/Agility:69,None,None,None,Water Veil,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Staryu,120,1,Water,30,45,55,85,Tackle:1/Harden:1/Water Gun:17/Rapid Spin:22/Recover:27/Swift:32/Hydro Pump:37/Light Screen:42/Minimize:47,Starmie,None,Water Stone,Illuminate,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Starmie,121,1,Water/Psychic,60,75,85,115,Tackle:1/Harden:1/Water Gun:1/Rapid Spin:1/Recover:33/Swift:39/Hydro Pump:45/Light Screen:51/Minimize:57/Psybeam:63,None,None,None,Illuminate,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Mr. Mime,122,1,Psychic/Fairy,40,45,65,90,Barrier:1/Confusion:1/Light Screen:15/Reflect:23/Substitute:31/Psychic:39/Meditate:47/ThunderPunch:55,None,None,None,Soundproof,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Scyther,123,1,Bug/Flying,70,110,80,105,Quick Attack:1/Leer:1/Focus Energy:17/Pursuit:20/False Swipe:25/Agility:29/Wing Attack:36/Swords Dance:43/Slash:50,Scizor,None,Trade with Metal Coat,Swarm,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Jynx,124,1,Ice/Psychic,65,50,35,95,Pound:1/Lovely Kiss:1/Powder Snow:18/Lick:23/Ice Punch:39/Body Slam:47/Thrash:54,None,None,None,Oblivious,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Electabuzz,125,1,Electric,65,83,57,105,Quick Attack:1/Leer:1/Thundershock:34/Screech:37/ThunderPunch:42/Light Screen:49/Thunderbolt:54/Thunder:59,Electivire,None,Trade with Electirizer,Static,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Magmar,126,1,Fire,65,95,57,93,Ember:1/Smokescreen:1/Leer:36/Fire Punch:39/Smog:43/Smokescreen:46/Fire Spin:52/Confuse Ray:55/Fire Blast:61,Magmortar,None,Trade with Magmarizer,Flame Body,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Pinsir,127,1,Bug,65,125,100,85,Vice Grip:1/Focus Energy:1/Bind:25/Seismic Toss:30/Harden:36/Guillotine:43/Swords Dance:49/Slash:54,None,None,None,Hyper Cutter,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Tauros,128,1,Normal,75,100,95,110,Tackle:1/Tail Whip:1/Leer:21/Rage:28/Take Down:35/Stomp:44/Horn Attack:51/Fury Attack:58/Thrash:65,None,None,None,Intimidate,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Magikarp,129,1,Water,20,10,55,80,Splash:1/Tackle:15/Flail:30,Gyarados,20,None,Swift Swim,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Gyarados,130,20,Water/Flying,95,125,79,81,Bite:1/Dragon Rage:1/Leer:20/Twister:25/Hydro Pump:32/Dragon Rage:39/Rain Dance:46/Hyper Beam:53,None,None,None,Intimidate,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Lapras,131,1,Water/Ice,130,85,80,60,Water Gun:1/Growl:1/Sing:16/Mist:20/Confuse Ray:25/Ice Beam:31/Body Slam:38/Rest:46/Hydro Pump:54,None,None,None,Water Absorb,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Ditto,132,1,Normal,48,48,48,48,Transform:1,None,None,None,Limber,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Eevee,133,1,Normal,55,55,50,55,Tackle:1/Tail Whip:1/Growl:1/Sand Attack:27/Quick Attack:31/Bite:37/Take Down:45/Last Resort:53,Vaporeon/Jolteon/Flareon,None,Evolution Stone,Adaptability,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Vaporeon,134,1,Water,130,65,60,65,Water Gun:1/Tail Whip:1/Sand Attack:8/Quick Attack:16/Water Pulse:23/Aurora Beam:30/Acid Armor:38/Haze:46/Mist:55/Hydro Pump:65,None,None,None,Water Absorb,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Jolteon,135,1,Electric,65,65,60,130,Thundershock:1/Tail Whip:1/Sand Attack:8/Quick Attack:16/Double Kick:23/Thunder Wave:30/Agility:38/Thunderbolt:46/Pin Missile:54/Thunder:65,None,None,None,Volt Absorb,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Flareon,136,1,Fire,65,130,60,65,Ember:1/Tail Whip:1/Sand Attack:8/Quick Attack:16/Bite:23/Leer:30/Fire Spin:38/Rage:46/Flamethrower:54/Fire Blast:65,None,None,None,Flash Fire,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Porygon,137,1,Normal,65,60,70,40,Tackle:1/Sharpen:1/Psybeam:23/Agility:28/Recover:35/Magnet Rise:42/Tri Attack:49/Lock-On:56/Tri Attack:63,Porygon2,None,Trade with Upgrade,Trace,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Omanyte,138,1,Rock/Water,35,40,100,35,Constrict:1/Withdraw:1/Bite:34/Water Gun:39/Leer:46/Spike Cannon:53/Hydro Pump:60,Omastar,40,None,Swift Swim,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Omastar,139,40,Rock/Water,70,60,125,55,Constrict:1/Withdraw:1/Bite:1/Water Gun:1/Leer:49/Spike Cannon:55/Hydro Pump:61/Hydro Pump:1,None,None,None,Swift Swim,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Kabuto,140,1,Rock/Water,30,80,90,55,Scratch:1/Harden:1/Leer:34/Absorb:39/Slash:46/Aqua Jet:53/Mega Drain:60,Kabutops,40,None,Swift Swim,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Kabutops,141,40,Rock/Water,60,115,105,80,Scratch:1/Harden:1/Leer:1/Absorb:1/Slash:49/Aqua Jet:55/Mega Drain:61/Ancient Power:67/Swords Dance:73,None,None,None,Swift Swim,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Aerodactyl,142,1,Rock/Flying,80,105,65,130,Wing Attack:1/Agility:1/Supersonic:34/Bite:39/Take Down:46/Super Sonic:53/Hyper Beam:60,None,None,None,Pressure,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Snorlax,143,1,Normal,160,110,65,30,Tackle:1/Amnesia:1/Headbutt:1/Rest:35/Body Slam:41/Harden:48/Double-Edge:56/Hyper Beam:65,None,None,None,Immunity,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Articuno,144,1,Ice/Flying,90,85,100,85,Gust:1/Mist:1/Agility:1/Mirror Move:51/Ice Beam:55/Blizzard:60/Sky Attack:65,None,None,None,Pressure,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Zapdos,145,1,Electric/Flying,90,90,85,100,Thundershock:1/Thunder Wave:1/Agility:1/Detect:51/Drill Peck:55/Thunderbolt:60/Thunder:65,None,None,None,Pressure,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Moltres,146,1,Fire/Flying,90,100,90,90,Ember:1/Leer:1/Agility:1/Fire Spin:51/Heat Wave:55/Fire Blast:60/Sky Attack:65,None,None,None,Pressure,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Dratini,147,1,Dragon,41,64,45,50,Wrap:1/Leer:1/Thunder Wave:8/Twister:15/Dragon Rage:22/Slam:29/Agility:36/Safeguard:43/Outrage:50/Hyper Beam:60,Dragonair,30,None,Shed Skin,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Dragonair,148,30,Dragon,61,84,65,70,Wrap:1/Leer:1/Thunder Wave:1/Twister:1/Dragon Rage:1/Slam:1/Agility:42/Safeguard:53/Outrage:64/Hyper Beam:75,Dragonite,55,None,Shed Skin,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Dragonite,149,55,Dragon/Flying,91,134,95,80,Wrap:1/Leer:1/Thunder Wave:1/Twister:1/Dragon Rage:1/Slam:1/Agility:1/Safeguard:1/Outrage:55/Hyper Beam:60/Dragon Rush:75/Wing Attack:82,None,None,None,Inner Focus,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Mewtwo,150,1,Psychic,106,110,90,130,Confusion:1/Disable:1/Safeguard:11/Recover:22/Swift:33/Psychic:44/Barrier:55/Amnesia:66,None,None,None,Pressure,None,Kanto,Pallet Town,50,10,1000,A pet monster,Monster,Pokemon,
Mew,151,1,Psychic,100,100,100,100,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Kanto,Pallet Town,50,10,1200,A pet monster,Monster,Pokemon,
Chikorita,152,1,Grass,45,49,65,45,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Bayleef,153,1,Grass,60,62,80,60,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Meganium,154,1,Grass,80,82,100,80,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Cyndaquil,155,1,Fire,39,52,43,65,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Quilava,156,1,Fire,58,64,58,80,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Typhlosion,157,1,Fire,78,84,78,100,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Totodile,158,1,Water,50,65,64,43,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Croconaw,159,1,Water,65,80,80,58,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Feraligatr,160,1,Water,85,105,100,78,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Sentret,161,1,Normal,35,46,34,20,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Furret,162,1,Normal,85,76,64,90,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Hoothoot,163,1,Normal,60,30,30,50,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,Flying
Noctowl,164,1,Normal,100,50,50,70,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,Flying
Ledyba,165,1,Bug,40,20,30,55,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,Flying
Ledian,166,1,Bug,55,35,50,85,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,Flying
Spinarak,167,1,Bug,40,60,40,30,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,Poison
Ariados,168,1,Bug,70,90,70,40,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,Poison
Crobat,169,1,Poison,85,90,80,130,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,Flying
Chinchou,170,1,Water,75,38,38,67,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,Electric
Lanturn,171,1,Water,125,58,58,67,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,Electric
Pichu,172,1,Electric,20,40,15,60,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Cleffa,173,1,Fairy,50,25,28,15,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Igglybuff,174,1,Normal,90,30,15,15,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,Fairy
Togepi,175,1,Fairy,35,20,65,20,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Togetic,176,1,Fairy,55,40,85,40,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,Flying
Natu,177,1,Psychic,40,50,45,70,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,Flying
Xatu,178,1,Psychic,65,75,70,95,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,Flying
Mareep,179,1,Electric,55,40,40,35,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Flaaffy,180,1,Electric,70,55,55,45,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Ampharos,181,1,Electric,90,75,85,55,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Bellossom,182,1,Grass,75,80,95,50,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Marill,183,1,Water,70,20,50,40,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,Fairy
Azumarill,184,1,Water,100,50,80,50,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,Fairy
Sudowoodo,185,1,Rock,70,100,115,30,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Politoed,186,1,Water,90,75,75,70,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Hoppip,187,1,Grass,35,35,40,50,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,Flying
Skiploom,188,1,Grass,55,45,50,80,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,Flying
Jumpluff,189,1,Grass,75,55,70,110,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,Flying
Aipom,190,1,Normal,55,70,55,85,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
Sunkern,191,1,Grass,30,30,30,30,Pound:1/Transform:10/Mega Punch:20/Metronome:30/Psychic:40/Barrier:50/Ancient Power:60/Amnesia:70/Psychic:80,None,None,None,Synchronize,None,Johto,Cherrygrove City,50,10,100,A pet monster,Monster,Pokemon,
